"来源","ID","名称","职业","品质","叠加上限","金币代价","效果","条件"
"符文／升级选项","constitution","不灭心脏","通用","稀有","3","0","当前生命上限提高12%，并恢复等量生命。",""
"符文／升级选项","lifebloom","余烬生息","通用","史诗","2","0","每完成一关，生命上限+3/层，并恢复等量生命。",""
"符文／升级选项","recruit","集结号角","通用","普通","3","0","加法门额外招募 5 名队员。",""
"符文／升级选项","mirror","双生印记","通用","稀有","3","0","正向乘法门的倍率 +0.08。",""
"符文／升级选项","steel","淬火钢刃","通用","普通","3","0","基础伤害 +20%。",""
"符文／升级选项","vitality","橡木之心","通用","普通","3","0","最大生命 +20，立即恢复 20 生命。",""
"符文／升级选项","vampire","血饮护符","通用","稀有","3","0","击败敌人时恢复 3 生命。",""
"符文／升级选项","bounty","渡鸦钱币","通用","普通","3","0","战后金币 +20，立即获得 30 金币。",""
"符文／升级选项","army","王者战旗","通用","史诗","1","0","立即获得 20 队员；每次过门再招募 3 人。",""
"符文／升级选项","split","双翼符印","通用","传说","2","0","每层增加左右一对斜向副弹，每枚造成主弹 50% 伤害。",""
"符文／升级选项","pierce","贯阵尖锥","通用","稀有","3","0","每层多穿透 1 个目标，每次穿透后保留 75% 伤害。",""
"符文／升级选项","velocity","疾风导环","通用","普通","2","0","弹体飞行速度 +25%。",""
"符文／升级选项","blast","炼金火芯","通用","稀有","3","0","命中额外造成 20% 弹体伤害，周围目标受到 65%/层范围伤害。",""
"符文／升级选项","heavy","铅铸重弹","通用","普通","2","0","主弹伤害 +25%，攻击速度 −10%。",""
"符文／升级选项","focus","聚能刻印","通用","普通","2","0","弹体半径 +65%，伤害 +10%。",""
"符文／升级选项","execute","终猎契印","通用","稀有","2","0","对生命低于 30% 的目标，额外伤害 +20%。",""
"符文／升级选项","square_key","神秘钥匙","通用","史诗","1","0","一枚来历不明的古老秘钥。握住它时，仿佛听见遥远的低语。","仅商店；普通/困难每局一次，无尽可解锁深门"
"符文／升级选项","bulwark","圣誓壁垒","骑士","普通","3","0","每场战斗的初始护盾 +15。",""
"符文／升级选项","bash","盾锋相映","骑士","稀有","3","0","每点当前护盾提供 0.5% 额外伤害。",""
"符文／升级选项","aegis","誓言回响","骑士","普通","3","0","每次通过正向门时获得 6 护盾。",""
"符文／升级选项","thorns","荆棘冠冕","骑士","稀有","3","0","受到攻击时，对全部可见敌人反击 80%/层基础齐射伤害。",""
"符文／升级选项","plate","不朽板甲","骑士","普通","3","0","护甲减伤 +8 个百分点，上限 60%。",""
"符文／升级选项","paladin","不灭圣约","骑士","传说","1","0","誓约冷却缩短4秒，护盾额外+12；5秒增伤由25%升至40%。",""
"符文／升级选项","keen","鹰隼之眼","游侠","普通","3","0","暴击率 +12 个百分点，上限 85%。",""
"符文／升级选项","quiver","疾风箭袋","游侠","普通","3","0","攻击速度 +20%。",""
"符文／升级选项","deadeye","致命瞄准","游侠","稀有","3","0","暴击伤害倍率 +0.6。",""
"符文／升级选项","ricochet","追猎回响","游侠","稀有","3","0","暴击命中后向前两侧发射 2 枚 30%/层伤害碎片，不再次分裂。",""
"符文／升级选项","ambush","林间伏击","游侠","普通","3","0","每场战斗额外获得 8 名队员。",""
"符文／升级选项","hunter","月神之弦","游侠","传说","1","0","箭雨冷却缩短4秒，箭雨伤害由4倍升至6倍；常驻暴击率+15个百分点，溢出部分转为暴击伤害。",""
"符文／升级选项","ember","秘火余烬","法师","普通","3","0","攻击使目标灼烧，每秒造成 32%/层基础齐射伤害，持续 3 秒。",""
"符文／升级选项","echo","法术回响","法师","稀有","3","0","每三次齐射，沿原轨迹追加 1 枚 80%/层伤害弹体。",""
"符文／升级选项","summon","星界契约","法师","普通","3","0","每次过门时额外召唤 3 名队员。",""
"符文／升级选项","surge","魔力奔涌","法师","普通","3","0","基础伤害 +25%。",""
"符文／升级选项","ward","符文护体","法师","普通","3","0","每场战斗获得 18 护盾。",""
"符文／升级选项","archmage","群星之核","法师","传说","1","0","秘火冷却缩短4秒，追踪火球由6发增至9发；施法后的兵力倍率由×1.05升至×1.08。",""
"战后补给","supply-potion","绯红药剂","通用","普通","1","0","立即恢复 40 生命。",""
"战后补给","supply-company","整编佣兵团","通用","普通","1","0","立即招募 50 名队员。",""
"战后补给","supply-weapon","精工锻造","通用","稀有","1","0","本局武器等级 +1。",""
"耗尽后的珍藏补给","supply-epic-cache","史诗军资","通用","史诗","1","0","获得 120 金币，立即恢复 50 生命。",""
"耗尽后的珍藏补给","supply-epic-vigor","不屈精粹","通用","史诗","1","0","最大生命 +8（上限 1200），立即恢复 50 生命。",""
"耗尽后的珍藏补给","supply-epic-company","王庭援军","通用","史诗","1","0","获得 60 金币，立即招募 100 名队员。",""
"无尽盟约","abyss-flame","续燃薪火","通用","史诗","反复选择，见条件","0","本次远征的伤害永久提高 18%。焚印后仍保留。",""
"无尽盟约","abyss-legion","万军回声","通用","史诗","反复选择，见条件","0","兵力对伤害的贡献倍率提高 30%，立即补充一半现有兵力。",""
"无尽盟约","abyss-heart","不熄圣血","通用","史诗","反复选择，见条件","0","生命上限提高 22%，恢复 45% 最大生命。",""
"无尽盟约","abyss-reforge","焚印重铸","通用","传说","反复选择，见条件","0","焚毁普通符文，转为永存伤害；首铸每层8%，此后按已重铸次数逐渐衰减。再获三层淬火钢刃与本职业三项符文，保留武器、生命、契约与侍从。",""
"无尽盟约","abyss-lore","深门残章","通用","传说","反复选择，见条件","0","读懂下一重封印。开启已有禁门后，渡鸦将出售更深的秘钥；残章共有两重，对应6,666与66,666金币。",""
"无尽盟约","abyss-bind","失冠者之誓","通用","传说","反复选择，见条件","0","与一位已击败的首领缔结盟誓。每 8 秒发动一次随你成长的援击；至多两位同行。",""
"商店","potion","绯红药剂","通用","","每家店同一商品一次","35","恢复 40 生命","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","soldiers","佣兵契约","通用","","每家店同一商品一次","45","招募 18 名队员","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","weapon","精工锻造","通用","","每家店同一商品一次","70","武器等级 +1","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic","神秘遗物","通用","","每家店同一商品一次","85","获得一项随机强化，优先本职业","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","tonic","琥珀复苏酿","通用","","每家店同一商品一次","60","恢复 80 生命","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","company","整编佣兵团","通用","","每家店同一商品一次","100","招募 50 名队员","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-vitality","橡木之心","通用","","每家店同一商品一次","95","最大生命 +20，立即恢复 20 生命。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-split","双翼符印","通用","","每家店同一商品一次","155","每层增加左右一对斜向副弹，每枚造成主弹 50% 伤害。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-pierce","贯阵尖锥","通用","","每家店同一商品一次","125","每层多穿透 1 个目标，每次穿透后保留 75% 伤害。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-velocity","疾风导环","通用","","每家店同一商品一次","75","弹体飞行速度 +25%。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-blast","炼金火芯","通用","","每家店同一商品一次","145","命中额外造成 20% 弹体伤害，周围目标受到 65%/层范围伤害。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-heavy","铅铸重弹","通用","","每家店同一商品一次","85","主弹伤害 +25%，攻击速度 −10%。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-focus","聚能刻印","通用","","每家店同一商品一次","85","弹体半径 +65%，伤害 +10%。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-execute","终猎契印","通用","","每家店同一商品一次","110","对生命低于 30% 的目标，额外伤害 +20%。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-bash","盾锋相映","骑士","","每家店同一商品一次","145","每点当前护盾提供 0.5% 额外伤害。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-deadeye","致命瞄准","游侠","","每家店同一商品一次","145","暴击伤害倍率 +0.6。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-echo","法术回响","法师","","每家店同一商品一次","145","每三次齐射，沿原轨迹追加 1 枚 80%/层伤害弹体。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"商店","relic-square_key","神秘钥匙","通用","","每家店同一商品一次","666","一枚来历不明的古老秘钥。握住它时，仿佛听见遥远的低语。","每店随机5件，秘钥单独陈列；职业限制与符文上限生效"
"事件（第13关示例）","legacy","先誓者的遗言","随职业变更","","每个事件选一次","0","献出32生命，继承「群星之核」，令你的主动誓术觉醒。","生命代价 32；数值随角色及深度变化"
"事件（第13关示例）","gold","沉眠军团","通用","","每个事件选一次","75","支付75金币，唤醒8,000兵力。军团越盛，回应誓言的亡魂越多。","生命代价 0；数值随角色及深度变化"
"事件（第13关示例）","study","无名贤者","通用","","每个事件选一次","65","支付65金币，获得213经验，至少晋升一级；下次交战时研习新的强化。","生命代价 0；数值随角色及深度变化"
"事件（第13关示例）","leave","守夜人的路资","通用","","每个事件选一次","0","收下214金币，继续前行。总有人记得守门者的恩情。","生命代价 0；数值随角色及深度变化"
"事件（第13关示例）","oath","生命之井","通用","","每个事件选一次","80","支付80金币，生命上限+88，并恢复等量生命与原有伤势的三成。","生命代价 0；数值随角色及深度变化"
"事件（第13关示例）","forge","流浪铸剑师","通用","","每个事件选一次","80","支付80金币，武器提升3级。炉火会顺应现有兵刃的品阶。","生命代价 0；数值随角色及深度变化"
"事件（第13关示例）","mercy","旅人的回礼","通用","","每个事件选一次","0","不取分文，恢复200生命。你曾替陌生人守过一夜火。","生命代价 0；数值随角色及深度变化"
"事件（第13关示例）","blood","血誓遗藏","通用","","每个事件选一次","0","献出32生命，从三份珍藏中选一份，必含史诗或传说。","生命代价 32；数值随角色及深度变化"
"事件（第13关示例）","cache","烙印宝库","通用","","每个事件选一次","0","献出32生命，带走468金币。沉睡的王室金库终于回应了你。","生命代价 32；数值随角色及深度变化"
"事件（第13关示例）","pilgrim","无名者的薪火","通用","","每个事件选一次","0","免费从三份遗物与补给中取走一份，并恢复生命上限的15%。愿下一位旅人也能找到火光。","生命代价 0；数值随角色及深度变化"
